MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,SNR_dB,GroupLabel
uniform_weight,Uniform-weight variant,0.763128,0.378,0.278,0.00955,0.0008,0.0263101460792217,0.0317135506908545,20000,104,-16,SNR=-16 dB
uniform_weight,Uniform-weight variant,0.79454,0.396,0.3,0.0083,0.0013,0.0216423802852261,0.0263548621976091,20000,105,-16,SNR=-16 dB
full,Proposed detector,0.807824,0.396,0.364,0.01105,0.0018,0.0463745428536791,0.0610939464511401,20000,101,-14,SNR=-14 dB
full,Proposed detector,0.832044,0.396,0.332,0.0099,0.0008,0.0397418746722467,0.0556325214498723,20000,102,-14,SNR=-14 dB
full,Proposed detector,0.812592,0.428,0.386,0.00895,0.00145,0.03228968531366,0.0500350889558236,20000,103,-14,SNR=-14 dB
full,Proposed detector,0.825156,0.446,0.4,0.01105,0.0009,0.0341212447873318,0.0459250809184219,20000,104,-14,SNR=-14 dB
full,Proposed detector,0.832584,0.478,0.428,0.00895,0.00145,0.0278073495239097,0.0391243177376998,20000,105,-14,SNR=-14 dB
global_only,Global-pooling variant,0.799112,0.38,0.246,0.00875,0.0009,0.00592273822966547,0.00843144800380533,20000,101,-14,SNR=-14 dB
global_only,Global-pooling variant,0.796124,0.372,0.278,0.0097,0.001,0.00421066221648914,0.00628554438869671,20000,102,-14,SNR=-14 dB
global_only,Global-pooling variant,0.792044,0.41,0.336,0.0083,0.00095,0.00449547562273355,0.00629023615764987,20000,103,-14,SNR=-14 dB
global_only,Global-pooling variant,0.814524,0.408,0.272,0.0116,0.0007,0.00500630358803589,0.00714635813831125,20000,104,-14,SNR=-14 dB
global_only,Global-pooling variant,0.813664,0.462,0.364,0.01075,0.00155,0.00343743781937604,0.00503542319781348,20000,105,-14,SNR=-14 dB
uniform_weight,Uniform-weight variant,0.796884,0.4,0.37,0.01085,0.0016,0.0208071265223663,0.026406229688059,20000,101,-14,SNR=-14 dB
uniform_weight,Uniform-weight variant,0.810772,0.394,0.356,0.00965,0.001,0.0157767571102525,0.0206773622743313,20000,102,-14,SNR=-14 dB
uniform_weight,Uniform-weight variant,0.805196,0.416,0.38,0.00905,0.0013,0.017149895780325,0.0216914357191195,20000,103,-14,SNR=-14 dB
uniform_weight,Uniform-weight variant,0.817628,0.438,0.39,0.00975,0.00085,0.0188542930977932,0.0237563159097442,20000,104,-14,SNR=-14 dB
uniform_weight,Uniform-weight variant,0.819176,0.472,0.418,0.00975,0.0011,0.0134754576237727,0.0185584340967076,20000,105,-14,SNR=-14 dB
full,Proposed detector,0.804432,0.398,0.342,0.00945,0.0011,0.0467769743431609,0.0557006170733331,20000,101,-12,SNR=-12 dB
full,Proposed detector,0.802184,0.428,0.402,0.00895,0.001,0.0326511664921854,0.0485295903947478,20000,102,-12,SNR=-12 dB
full,Proposed detector,0.848124,0.434,0.354,0.00895,0.001,0.0346818745218881,0.0498493409186364,20000,103,-12,SNR=-12 dB
full,Proposed detector,0.826264,0.444,0.412,0.00875,0.0016,0.0355181616710161,0.0470170303195883,20000,104,-12,SNR=-12 dB
full,Proposed detector,0.838836,0.454,0.416,0.01025,0.00085,0.0285227483168127,0.0417259721991083,20000,105,-12,SNR=-12 dB
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,-12,SNR=-12 dB
global_only,Global-pooling variant,0.776016,0.414,0.384,0.0104,0.00115,0.00387686610312168,0.00591740830620532,20000,102,-12,SNR=-12 dB
global_only,Global-pooling variant,0.819836,0.438,0.342,0.0106,0.0011,0.00375403120804898,0.00538673246369789,20000,103,-12,SNR=-12 dB
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,-12,SNR=-12 dB
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774484,20000,105,-12,SNR=-12 dB
uniform_weight,Uniform-weight variant,0.793852,0.354,0.204,0.00945,0.00095,0.0269981853078699,0.0320606370782975,20000,101,-12,SNR=-12 dB
uniform_weight,Uniform-weight variant,0.7963,0.418,0.392,0.00945,0.00105,0.0158103881318879,0.0208510450276988,20000,102,-12,SNR=-12 dB
uniform_weight,Uniform-weight variant,0.832644,0.472,0.422,0.0101,0.00105,0.0130517629155393,0.0171615338950244,20000,103,-12,SNR=-12 dB
uniform_weight,Uniform-weight variant,0.819796,0.438,0.404,0.008,0.0015,0.0166892068402688,0.0209139866840282,20000,104,-12,SNR=-12 dB
uniform_weight,Uniform-weight variant,0.825056,0.444,0.418,0.01035,0.0008,0.0123506837912566,0.0181236239344715,20000,105,-12,SNR=-12 dB
full,Proposed detector,0.865756,0.512,0.488,0.00875,0.00095,0.0293687434422578,0.0405200548081263,20000,101,-10,SNR=-10 dB
full,Proposed detector,0.847304,0.432,0.388,0.00925,0.00105,0.0357135865966274,0.0502420728611368,20000,102,-10,SNR=-10 dB
full,Proposed detector,0.813148,0.478,0.456,0.01145,0.0012,0.0323738458451808,0.0416405568390079,20000,103,-10,SNR=-10 dB
full,Proposed detector,0.787776,0.452,0.41,0.0093,0.00105,0.0225360822154486,0.0293639779783958,20000,104,-10,SNR=-10 dB
full,Proposed detector,0.810964,0.452,0.402,0.01105,0.0015,0.0255690111916589,0.035648974908085,20000,105,-10,SNR=-10 dB
