MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,ParamName,ParamValue,GroupLabel
full,Proposed detector,0.826264,0.444,0.412,0.00875,0.0016,0.0355181616710161,0.0470170303195883,20000,104,blockSize,8,blockSize=8
uniform_weight,Uniform-weight variant,0.819796,0.438,0.404,0.008,0.0015,0.0166892068402688,0.0209139866840282,20000,104,blockSize,8,blockSize=8
global_only,Global-pooling variant,0.785792,0.432,0.394,0.00865,0.0014,0.00422605842533095,0.00584044782451436,20000,104,blockSize,8,blockSize=8
full,Proposed detector,0.821724,0.45,0.418,0.00885,0.00135,0.0369439083332044,0.0525830608858302,20000,104,blockSize,10,blockSize=10
uniform_weight,Uniform-weight variant,0.816332,0.428,0.4,0.00835,0.00145,0.014523649141659,0.0176869334378044,20000,104,blockSize,10,blockSize=10
global_only,Global-pooling variant,0.79066,0.416,0.366,0.0091,0.001,0.00426744935237007,0.00604088800209483,20000,104,blockSize,10,blockSize=10
full,Proposed detector,0.846192,0.48,0.426,0.009,0.0009,0.0194860737627265,0.0290680270912226,20000,105,blockSize,4,blockSize=4
uniform_weight,Uniform-weight variant,0.845096,0.484,0.426,0.0096,0.0015,0.0135837821676445,0.019810789168589,20000,105,blockSize,4,blockSize=4
global_only,Global-pooling variant,0.799016,0.462,0.428,0.01055,0.0013,0.00291366114690544,0.00443665231164895,20000,105,blockSize,4,blockSize=4
full,Proposed detector,0.837152,0.468,0.418,0.0092,0.00045,0.0272877083943765,0.0461276389106643,20000,105,blockSize,6,blockSize=6
uniform_weight,Uniform-weight variant,0.826676,0.462,0.416,0.0097,0.00055,0.0151056594920852,0.0268265874366165,20000,105,blockSize,6,blockSize=6
global_only,Global-pooling variant,0.786236,0.456,0.426,0.01005,0.0011,0.00383161120857121,0.00618921509383952,20000,105,blockSize,6,blockSize=6
full,Proposed detector,0.838836,0.454,0.416,0.01025,0.00085,0.0285227483168127,0.0417259721991083,20000,105,blockSize,8,blockSize=8
uniform_weight,Uniform-weight variant,0.825056,0.444,0.418,0.01035,0.0008,0.0123506837912566,0.0181236239344715,20000,105,blockSize,8,blockSize=8
global_only,Global-pooling variant,0.807392,0.44,0.414,0.01,0.00165,0.00356833078297959,0.00504040628774483,20000,105,blockSize,8,blockSize=8
full,Proposed detector,0.839684,0.454,0.416,0.00975,0.00065,0.0291296781587059,0.0445721494847433,20000,105,blockSize,10,blockSize=10
uniform_weight,Uniform-weight variant,0.824996,0.432,0.418,0.0102,0.00105,0.0118773938748038,0.0147864770300189,20000,105,blockSize,10,blockSize=10
global_only,Global-pooling variant,0.81038,0.426,0.39,0.0104,0.00145,0.00407857536466072,0.005561237150706,20000,105,blockSize,10,blockSize=10
full,Proposed detector,0.787384,0.424,0.408,0.00895,0.00075,0.0584467566960386,0.0696276366912912,20000,101,topFrac,0.1,topFrac=0.1
uniform_weight,Uniform-weight variant,0.778,0.39,0.378,0.01035,0.0011,0.0383209310382165,0.0446801172518832,20000,101,topFrac,0.1,topFrac=0.1
global_only,Global-pooling variant,0.79384,0.3,0.158,0.0099,0.00095,0.00771648212755297,0.00985987096141208,20000,101,topFrac,0.1,topFrac=0.1
full,Proposed detector,0.804432,0.398,0.342,0.00945,0.0011,0.0467769743431608,0.055700617073333,20000,101,topFrac,0.2,topFrac=0.2
