MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,TrainSize,GroupLabel
global_only,Global-pooling variant,0.841444,0.364,0.218,0.01155,0.00145,0.0045261219926233,0.00636753428049029,20000,103,80,Train=80
full,Proposed detector,0.8208,0.454,0.432,0.01045,0.00065,0.0258155553797829,0.0353031494822386,20000,103,160,Train=160
uniform_weight,Uniform-weight variant,0.809624,0.44,0.418,0.0089,0.00065,0.0142228070432388,0.0173763728319275,20000,103,160,Train=160
global_only,Global-pooling variant,0.797216,0.416,0.324,0.01095,0.0008,0.00423308800133395,0.00594329535138489,20000,103,160,Train=160
full,Proposed detector,0.762692,0.042,0.008,0.00805,0.0009,0.0444491758677939,0.0577664133047577,20000,104,10,Train=10
uniform_weight,Uniform-weight variant,0.775836,0.354,0.116,0.00765,0.0009,0.025275619862918,0.0302628569440777,20000,104,10,Train=10
global_only,Global-pooling variant,0.762372,0.216,0.058,0.0085,0.00075,0.00895155370132018,0.0117269782378692,20000,104,10,Train=10
full,Proposed detector,0.799532,0.408,0.336,0.00975,0.0007,0.0547347157080572,0.0728361257647304,20000,104,20,Train=20
uniform_weight,Uniform-weight variant,0.789256,0.41,0.322,0.0092,0.00075,0.0292945926681,0.0366102616854344,20000,104,20,Train=20
global_only,Global-pooling variant,0.790936,0.286,0.13,0.0092,0.00075,0.00913297624434773,0.0128257525421564,20000,104,20,Train=20
full,Proposed detector,0.796568,0.45,0.43,0.00935,0.00145,0.0339308395238874,0.043363036812877,20000,104,40,Train=40
uniform_weight,Uniform-weight variant,0.802952,0.436,0.418,0.0108,0.00095,0.0186421150146761,0.0231855935642862,20000,104,40,Train=40
global_only,Global-pooling variant,0.784604,0.414,0.336,0.0113,0.0008,0.00538001505521398,0.00742000523502984,20000,104,40,Train=40
full,Proposed detector,0.83098,0.448,0.41,0.009,0.00145,0.0325071498990947,0.0441911391974332,20000,104,80,Train=80
uniform_weight,Uniform-weight variant,0.820368,0.434,0.402,0.0083,0.0013,0.0154128912050883,0.0200687473011847,20000,104,80,Train=80
global_only,Global-pooling variant,0.78362,0.422,0.366,0.0096,0.00065,0.00424617736628423,0.00610302400249857,20000,104,80,Train=80
full,Proposed detector,0.82904,0.44,0.418,0.00765,0.00095,0.0334847325610823,0.0431137825968897,20000,104,160,Train=160
uniform_weight,Uniform-weight variant,0.82316,0.436,0.406,0.00815,0.0013,0.0158498130117278,0.0200675611165396,20000,104,160,Train=160
global_only,Global-pooling variant,0.786036,0.42,0.366,0.0085,0.00065,0.00414290160757092,0.00608472456245717,20000,104,160,Train=160
full,Proposed detector,0.820064,0.044,0.008,0.0094,0.001,0.0628767036283838,0.0862532774171726,20000,105,10,Train=10
uniform_weight,Uniform-weight variant,0.8247,0.338,0.058,0.01075,0.00055,0.0339831908518982,0.0446369670365829,20000,105,10,Train=10
global_only,Global-pooling variant,0.831388,0.25,0.056,0.01065,0.00095,0.00973581907861612,0.0142215129999277,20000,105,10,Train=10
full,Proposed detector,0.823404,0.46,0.434,0.0099,0.001,0.0275703658155718,0.0381142972181044,20000,105,20,Train=20
