MethodName,MethodLabel,AUC,Pd_Pfa1e2,Pd_Pfa1e3,AchPfa1e2,AchPfa1e3,Thr1e2,Thr1e3,NumCalH0,Seed,NoiseName,GroupLabel
full,Proposed detector,0.848368,0.434,0.354,0.0091,0.001,0.0347320061894179,0.0496907837360185,20000,103,Heavy-tailed background perturbation,Heavy-tailed background perturbation
uniform_weight,Uniform-weight variant,0.832812,0.472,0.422,0.01,0.001,0.0130598023478649,0.0172238303123732,20000,103,Heavy-tailed background perturbation,Heavy-tailed background perturbation
global_only,Global-pooling variant,0.820012,0.44,0.34,0.0104,0.0011,0.00375668549377988,0.00537267567684124,20000,103,Heavy-tailed background perturbation,Heavy-tailed background perturbation
full,Proposed detector,0.82614,0.444,0.412,0.0086,0.0015,0.0355888192825822,0.0472673870364438,20000,104,Gaussian background perturbation,Gaussian background perturbation
uniform_weight,Uniform-weight variant,0.819572,0.438,0.404,0.0079,0.00155,0.0166695997869439,0.020865620885768,20000,104,Gaussian background perturbation,Gaussian background perturbation
global_only,Global-pooling variant,0.78556,0.432,0.394,0.0086,0.0013,0.00423729644717244,0.00586284064701792,20000,104,Gaussian background perturbation,Gaussian background perturbation
full,Proposed detector,0.82626,0.446,0.414,0.00885,0.00155,0.0355181828922465,0.0473384443481267,20000,104,Laplacian background perturbation,Laplacian background perturbation
uniform_weight,Uniform-weight variant,0.819908,0.438,0.404,0.00795,0.00145,0.0167010012021891,0.0209583870982665,20000,104,Laplacian background perturbation,Laplacian background perturbation
global_only,Global-pooling variant,0.785904,0.428,0.392,0.0086,0.00125,0.0042435255873356,0.00585079766658282,20000,104,Laplacian background perturbation,Laplacian background perturbation
full,Proposed detector,0.826488,0.444,0.412,0.00855,0.0014,0.03571043948472,0.0474624402502124,20000,104,Impulsive background perturbation,Impulsive background perturbation
uniform_weight,Uniform-weight variant,0.81982,0.436,0.404,0.0079,0.0014,0.0166872171624028,0.0209861639956911,20000,104,Impulsive background perturbation,Impulsive background perturbation
global_only,Global-pooling variant,0.785768,0.426,0.39,0.00815,0.0012,0.00425703138145206,0.005901664853904,20000,104,Impulsive background perturbation,Impulsive background perturbation
full,Proposed detector,0.826616,0.446,0.412,0.0086,0.0014,0.0355847568959813,0.0474926702870032,20000,104,Heavy-tailed background perturbation,Heavy-tailed background perturbation
uniform_weight,Uniform-weight variant,0.819712,0.436,0.404,0.0079,0.00155,0.0166772148404627,0.0209937126252399,20000,104,Heavy-tailed background perturbation,Heavy-tailed background perturbation
global_only,Global-pooling variant,0.785908,0.428,0.394,0.00875,0.00135,0.00422838313132474,0.00583416599956027,20000,104,Heavy-tailed background perturbation,Heavy-tailed background perturbation
full,Proposed detector,0.839352,0.454,0.418,0.01,0.0008,0.0285591945004144,0.041832692849768,20000,105,Gaussian background perturbation,Gaussian background perturbation
uniform_weight,Uniform-weight variant,0.825612,0.444,0.418,0.01045,0.00085,0.0123536387590486,0.0181083811912938,20000,105,Gaussian background perturbation,Gaussian background perturbation
global_only,Global-pooling variant,0.808016,0.442,0.416,0.0101,0.00185,0.00357045415841526,0.00503234513612182,20000,105,Gaussian background perturbation,Gaussian background perturbation
full,Proposed detector,0.838696,0.454,0.416,0.0102,0.0009,0.0284849294227738,0.0416730718894278,20000,105,Laplacian background perturbation,Laplacian background perturbation
uniform_weight,Uniform-weight variant,0.82504,0.444,0.418,0.0103,0.0008,0.0123527243512033,0.0182759068812849,20000,105,Laplacian background perturbation,Laplacian background perturbation
global_only,Global-pooling variant,0.807388,0.442,0.414,0.0101,0.0018,0.00356615480314518,0.00504179155412137,20000,105,Laplacian background perturbation,Laplacian background perturbation
full,Proposed detector,0.839068,0.454,0.418,0.0104,0.00085,0.0285645821383594,0.0418179893653345,20000,105,Impulsive background perturbation,Impulsive background perturbation
uniform_weight,Uniform-weight variant,0.825184,0.448,0.418,0.0104,0.0008,0.0123470776367949,0.018135195509387,20000,105,Impulsive background perturbation,Impulsive background perturbation
global_only,Global-pooling variant,0.806996,0.44,0.412,0.0102,0.0014,0.0035734457529918,0.00510718878184731,20000,105,Impulsive background perturbation,Impulsive background perturbation
full,Proposed detector,0.839024,0.454,0.416,0.0104,0.00075,0.028518004183664,0.0420775315122858,20000,105,Heavy-tailed background perturbation,Heavy-tailed background perturbation
uniform_weight,Uniform-weight variant,0.825092,0.442,0.418,0.01045,0.00085,0.012345824186705,0.0181742829563215,20000,105,Heavy-tailed background perturbation,Heavy-tailed background perturbation
global_only,Global-pooling variant,0.8076,0.44,0.414,0.01025,0.0018,0.0035667611133628,0.00503337344388082,20000,105,Heavy-tailed background perturbation,Heavy-tailed background perturbation
